ID,Jornada,Puntos,Nombre,Equipo,Posición,Valoración,Pases totales,Pases precisos,Balones en largo totales,Centros totales,Duelos aéreos perdidos,Duelos perdidos,Duelos ganados,Regateado,Regates totales,Regates completados,Tiros a puerta,Tiros bloqueados en ataque,Goles,Despejes totales,Intercepciones,Entradas totales,Faltas recibidas,Minutos jugados,Toques,Valoración,Posesiones perdidas,Goles esperados,Pases clave,MATCH_STAT_expectedAssists,Balones en largo precisos,Asistencias de gol,Pérdidas,Tiros fuera,Faltas cometidas,Duelos aéreos ganados,Tiros bloqueados en defensa,Centros precisos,Ocasiones claras falladas,Ocasiones creadas,Fueras de juego,Errores que llevan a disparo,Tiros al palo,Penaltis provocados,Despejes en la línea de gol,Despejes por alto,Paradas desde dentro del área,Paradas,Salidas totales,Salidas precisas,Goles evitados,Despejes con los puños,Entradas como último hombre,Errores que llevan a gol,Penaltis parados,,Penaltis cometidos,Penaltis fallados
53114,J1,14,Bellingham,Real Madrid,Mediocentro,"9,4",44,41,1,,1,5,2,,2,1,4,1,2,,,,1,81,59,"9,4",7,"0,7",3,"0,2",1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
53114,J2,19,Bellingham,Real Madrid,Mediocentro,"8,1",40,36,,,2,4,7,,2,1,1,,1,1,,,5,90,57,"8,1",9,"0,2",2,"0,2",,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,
53114,J3,12,Bellingham,Real Madrid,Mediocentro,"7,7",53,48,2,4,2,7,3,1,3,1,1,,1,1,,,2,90,72,"7,7",15,"0,7",3,"0,2",,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,
53114,J4,12,Bellingham,Real Madrid,Mediocentro,"7,4",41,34,2,,2,4,8,,3,2,2,,,,,1,4,90,55,"7,4",9,"0,3",2,"0,1",2,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,
53114,J5,4,Bellingham,Real Madrid,Mediocentro,"7,8",52,47,1,1,,4,13,,9,7,,,,1,,2,3,90,75,"7,8",12,"0,1",1,"0,1",1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
53114,J6,3,Bellingham,Real Madrid,Mediocentro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53114,J7,,Bellingham,Real Madrid,Mediocentro,9,44,43,1,1,,6,7,2,6,2,3,2,1,,1,4,1,74,69,9,7,"1,2",1,"0,3",1,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,
53114,J8,14,Bellingham,Real Madrid,Mediocentro,"8,9",53,48,1,2,1,6,3,1,1,,3,,2,,3,2,1,72,76,"8,9",13,"0,7",,"0,0",1,,1,,2,,,,,,1,,,,,,,,,,,,,,,,,
53114,J9,18,Bellingham,Real Madrid,Mediocentro,"7,5",36,29,2,,1,3,10,1,1,1,,1,,1,1,,7,90,59,"7,5",12,"0,0",2,"0,1",2,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,
53114,J10,6,Bellingham,Real Madrid,Mediocentro,"8,1",48,44,2,,1,12,6,,4,,2,,2,1,2,2,2,90,75,"8,1",15,"0,6",,"0,1",1,,5,,2,2,,,,,,,,,,,,,,,,,,,,,,
53114,J11,18,Bellingham,Real Madrid,Mediocentro,"7,9",65,58,2,,1,10,7,2,4,3,,2,,,,2,2,90,87,"7,9",12,"0,2",3,"0,2",2,,4,1,2,,1,,,,,,,,,,,,,,,,,,,,,
53114,J12,7,Bellingham,Real Madrid,Mediocentro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
